Parth_Priority,Claude_Priority,Location_Tier,Priority_Score,Action,Difficulty_Tier,Company,Role,Location,Competitiveness_Score,Resume_Match_Score,Cold_Email_Score,Recency_Score,Apply_Link,Date_Posted
88.5,82.0,1,64,Apply Soon,3,Wing,Backend Software Engineering Intern,"Palo Alto, CA",8,7,6,10,"=HYPERLINK(""https://wing.com/careers/8444972002?gh_jid=8444972002&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
88.5,82.0,1,64,Apply Soon,3,Samsung,Software Development Internship - Agentic AI tools,"Plano, TX",8,7,6,10,"=HYPERLINK(""https://sec.wd3.myworkdayjobs.com/Samsung_Careers/job/6555-Excellence-Way-Plano-TX-USA/Software-Development-Internship--Agentic-AI-tools-_R114687?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
88.5,82.0,1,64,Apply Soon,3,Terran Orbital,Artificial Intelligence/Machine Learning Intern,"Irvine, CA",8,7,6,10,"=HYPERLINK(""https://job-boards.greenhouse.io/terranorbitalcorporation/jobs/4157897009?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
88.5,82.0,1,64,Apply Soon,3,Royal Bank of Canada,Edge AI Intern,"Orlando, FL",8,7,6,10,"=HYPERLINK(""https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/Orlando-Florida-United-States-of-America/Edge-AI-Intern--Summer-2026_R-0000157134?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
88.5,82.0,1,64,Apply Soon,3,Scout Motors,Intern Engineer - AI Modeling-Predictive Analytics,"Fremont, CA",8,7,6,10,"=HYPERLINK(""https://job-boards.greenhouse.io/scoutmotors/jobs/5065706007?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
88.5,82.0,1,64,Apply Soon,3,Kaiser Permanente,Applied Data Analytics Bachelor's Intern,"Orange, CA",8,7,6,10,"=HYPERLINK(""https://kp.taleo.net/careersection/external/jobdetail.ftl?job=1411032&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
88.5,82.0,1,64,Apply Soon,3,PG&E,Data Analytics Intern,"Oakland, CA",8,7,6,10,"=HYPERLINK(""https://careers.pge.com/job/Oakland-Data-Analytics-Intern-CA-94612/1369823300/?ats=successfactors&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
88.5,82.0,1,64,Apply Soon,3,Skydio,Wireless Software Engineer Intern,"San Mateo, CA",8,7,6,10,"=HYPERLINK(""https://jobs.ashbyhq.com/skydio/d2503361-6a4b-42e0-8c42-6b6c0587b2db/application?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
88.5,82.0,1,64,Apply Soon,3,Zoox,Firmware Validation Tooling Intern,"San Mateo, CA",8,7,6,10,"=HYPERLINK(""https://jobs.lever.co/zoox/fd2be6ec-162d-4955-802f-fb8d2de8b3c0/apply?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
88.5,82.0,1,64,Apply Soon,4,Coherent,Intern-Application Software Development,"Fremont, CA",8,7,6,10,"=HYPERLINK(""https://hcwp.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2009947?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
